LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670855240.147773,1254535.000,6451,2,EA,1,100,0.030320
1670855240.214334,1254599.500,6467,2,EA,1,100,0.030320
1670855240.280894,1254664.000,6467,2,EA,1,100,0.030320
1670855240.349002,1254730.000,6484,1,EA,1,100,0.030320
1670855240.415562,1254794.500,6499,2,EA,1,100,0.030320
1670855240.482122,1254859.000,6499,2,EA,1,100,0.030320
1670855240.551262,1254926.000,6516,1,EA,1,100,0.030320
1670855240.619370,1254992.000,6532,2,EA,1,100,0.030320
1670855240.687479,1255058.000,6532,2,EA,1,100,0.030320
1670855240.752491,1255121.000,6553,1,EA,1,100,0.030320
1670855240.818535,1255185.000,6569,2,EA,1,100,0.030319
1670855240.884579,1255249.000,6569,2,EA,1,100,0.030320
1670855240.950624,1255313.000,6586,1,EA,1,100,0.030320
1670855241.016668,1255377.000,6603,2,EA,1,100,0.030319
1670855241.082712,1255441.000,6603,2,EA,1,100,0.030319
1670855241.150304,1255506.500,6620,2,EA,1,100,0.030319
1670855241.217896,1255572.000,6620,2,EA,1,100,0.030319
1670855241.286005,1255638.000,6636,1,EA,1,100,0.030319
1670855241.352565,1255702.500,6652,2,EA,1,100,0.030319
1670855241.419125,1255767.000,6652,2,EA,1,100,0.030319
1670855241.486201,1255832.000,6668,1,EA,1,100,0.030319
1670855241.552246,1255896.000,6685,2,EA,1,100,0.030319
1670855241.618290,1255960.000,6685,2,EA,1,100,0.030319
1670855241.684334,1256024.000,6701,1,EA,1,100,0.030319
1670855241.749862,1256087.500,6720,2,EA,1,100,0.030319
1670855241.815391,1256151.000,6720,2,EA,1,100,0.030319
1670855241.881951,1256215.500,6735,2,EA,1,100,0.030319
1670855241.948511,1256280.000,6735,2,EA,1,100,0.030319
1670855242.015587,1256345.000,6752,1,EA,1,100,0.030319
1670855242.082664,1256410.000,6769,2,EA,1,100,0.030319
1670855242.149740,1256475.000,6769,2,EA,1,100,0.030319
1670855242.215784,1256539.000,6786,1,EA,1,100,0.030319
1670855242.282344,1256603.500,6803,2,EA,1,100,0.030319
1670855242.348904,1256668.000,6803,2,EA,1,100,0.030319
1670855242.413917,1256731.000,6821,1,EA,1,100,0.030319
1670855242.479961,1256795.000,6837,2,EA,1,100,0.030319
1670855242.546005,1256859.000,6837,2,EA,1,100,0.030319
1670855242.613597,1256924.500,6854,2,EA,1,100,0.030319
1670855242.681190,1256990.000,6854,2,EA,1,100,0.030319
1670855242.746202,1257053.000,6871,1,EA,1,100,0.030319
