LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1671015107.415461,118847,18024,8,LM,1,100,1397344.3422566,1397344.3422677,1397344.3559058,sync_event,
1671015107.722065,119144,18078,8,LM,1,100,1397344.8426360,1397344.8426471,1397344.8556888,sync_event,
1671015108.256816,119662,18168,8,LM,1,100,1397345.3428845,1397345.3428956,1397345.3560118,sync_event,
1671015108.668719,120061,18239,8,LM,1,100,1397345.8437512,1397345.8437623,1397345.8563314,sync_event,
1671015109.232375,120607,18328,8,LM,1,100,1397346.3441529,1397346.3441561,1397346.3565712,sync_event,
1671015109.742349,121101,18415,8,LM,1,100,1397346.8449749,1397346.8449782,1397346.8572626,sync_event,
1671015110.256453,121599,18504,8,LM,1,100,1397347.3459610,1397347.3459642,1397347.4119006,sync_event,
1671015110.758169,122085,18597,8,LM,1,100,1397347.8463542,1397347.8463575,1397347.8577979,sync_event,
1671015111.180395,122494,18670,8,LM,1,100,1397348.3467928,1397348.3468090,1397348.3586917,sync_event,
1671015111.706887,123004,18758,8,LM,1,100,1397348.8473408,1397348.8473570,1397348.8584375,sync_event,
1671015112.212732,123494,18844,8,LM,1,100,1397349.3476859,1397349.3477021,1397349.3590287,sync_event,
1671015112.678316,123945,18918,8,LM,1,100,1397349.8481280,1397349.8481442,1397349.8591617,sync_event,
1671015113.223390,124473,19005,8,LM,1,100,1397350.3485359,1397350.3485643,1397350.3591861,sync_event,
1671015113.726138,124960,19092,8,LM,1,100,1397350.8487941,1397350.8488224,1397350.8608239,sync_event,
1671015114.261921,125479,19181,8,LM,1,100,1397351.3495377,1397351.3495660,1397351.3804582,sync_event,
1671015114.688276,125892,19252,8,LM,1,100,1397351.8502230,1397351.8502514,1397351.8605109,sync_event,
1671015115.185862,126374,19338,8,LM,1,100,1397352.3507288,1397352.3507367,1397352.3605716,sync_event,
1671015115.717516,126889,19426,8,LM,1,100,1397352.8509282,1397352.8509361,1397352.8616464,sync_event,
1671015116.194456,127351,19503,8,LM,1,100,1397353.3518114,1397353.3518193,1397353.3614673,sync_event,
1671015116.707527,127848,19590,8,LM,1,100,1397353.8527933,1397353.8528012,1397353.8625971,sync_event,
1671015117.213372,128338,19679,8,LM,1,100,1397354.3530619,1397354.3530750,1397354.3622908,sync_event,
1671015117.734702,128843,19766,8,LM,1,100,1397354.8536977,1397354.8537108,1397354.8626563,sync_event,
1671015118.265324,129357,19855,8,LM,1,100,1397355.3545762,1397355.3545893,1397355.3628240,sync_event,
1671015118.784589,129860,19942,8,LM,1,100,1397355.8550969,1397355.8551100,1397355.9249321,sync_event,
1671015119.216106,130278,20014,8,LM,1,100,1397356.3559479,1397356.3559998,1397356.3801325,sync_event,
1671015119.803506,130847,20117,8,LM,1,100,1397356.8568720,1397356.8569239,1397356.8808813,sync_event,
1671015120.243281,131273,20190,8,LM,1,100,1397357.3578224,1397357.3578743,1397357.3810082,sync_event,
1671015120.695445,131711,20260,8,LM,1,100,1397357.8585042,1397357.8585561,1397357.8812257,sync_event,
1671015121.306588,132303,20352,8,LM,1,100,1397358.3593727,1397358.3594081,1397358.3813374,sync_event,
1671015121.706103,132690,20426,8,LM,1,100,1397358.8602317,1397358.8602671,1397358.8823470,sync_event,
1671015122.251177,133218,20513,8,LM,1,100,1397359.3602818,1397359.3603172,1397359.3663741,sync_event,
1671015122.769410,133720,20600,8,LM,1,100,1397359.8608857,1397359.8609211,1397359.9055169,sync_event,
1671015123.271126,134206,20686,8,LM,1,100,1397360.3613923,1397360.3613994,1397360.3660383,sync_event,
1671015123.700578,134622,20760,8,LM,1,100,1397360.8614489,1397360.8614560,1397360.8837561,sync_event,
1671015124.207456,135113,20845,8,LM,1,100,1397361.3616814,1397361.3616885,1397361.3837007,sync_event,
1671015124.736012,135625,20932,8,LM,1,100,1397361.8625856,1397361.8625927,1397361.8841027,sync_event,
1671015125.204693,136079,21004,8,LM,1,100,1397362.3625078,1397362.3625307,1397362.3844137,sync_event,
1671015125.709506,136568,21092,8,LM,1,100,1397362.8632221,1397362.8632450,1397362.8846928,sync_event,
1671015126.220513,137063,21180,8,LM,1,100,1397363.3633990,1397363.3634219,1397363.3687429,sync_event,
1671015126.862626,137685,21271,8,LM,1,100,1397363.8640548,1397363.8640777,1397363.8888049,sync_event,
1671015127.183683,137996,21327,8,LM,1,100,1397364.3646219,1397364.3646581,1397364.3690875,sync_event,
1671015127.771083,138565,21431,8,LM,1,100,1397364.8652871,1397364.8653233,1397364.8693988,sync_event,
1671015128.184018,138965,21503,8,LM,1,100,1397365.3656432,1397365.3656794,1397365.3698891,sync_event,
1671015128.830261,139591,21607,8,LM,1,100,1397365.8664051,1397365.8664413,1397365.8699342,sync_event,
1671015129.189514,139939,21665,8,LM,1,100,1397366.3668848,1397366.3669229,1397366.3704899,sync_event,
1671015129.680907,140415,21754,8,LM,1,100,1397366.8673523,1397366.8673904,1397366.8710136,sync_event,
1671015130.212560,140930,21843,8,LM,1,100,1397367.3678356,1397367.3678737,1397367.3711878,sync_event,
1671015130.727696,141429,21928,8,LM,1,100,1397367.8681910,1397367.8682291,1397367.8712059,sync_event,
1671015131.250059,141935,22016,8,LM,1,100,1397368.3686567,1397368.3687008,1397368.4270136,sync_event,
1671015131.736290,142406,22095,8,LM,1,100,1397368.8688237,1397368.8688678,1397368.8720276,sync_event,
1671015132.183291,142839,22167,8,LM,1,100,1397369.3688479,1397369.3688920,1397369.3725836,sync_event,
1671015132.692234,143332,22256,8,LM,1,100,1397369.8691478,1397369.8691919,1397369.8731297,sync_event,
1671015133.189820,143814,22342,8,LM,1,100,1397370.3695996,1397370.3696165,1397370.3730555,sync_event,
1671015133.710118,144318,22430,8,LM,1,100,1397370.8702821,1397370.8702990,1397370.8739105,sync_event,
1671015134.232481,144824,22518,8,LM,1,100,1397371.3708679,1397371.3708848,1397371.3736258,sync_event,
1671015134.708388,145285,22588,8,LM,1,100,1397371.8709311,1397371.8709480,1397371.8908886,sync_event,
1671015135.250365,145810,22678,8,LM,1,100,1397372.3714013,1397372.3714029,1397372.4108916,sync_event,
1671015135.748984,146293,22766,8,LM,1,100,1397372.8717580,1397372.8717596,1397372.8912645,sync_event,
1671015136.264120,146792,22854,8,LM,1,100,1397373.3720953,1397373.3720969,1397373.3751193,sync_event,
1671015136.695637,147210,22925,8,LM,1,100,1397373.8722349,1397373.8722365,1397373.8753809,sync_event,
1671015137.288198,147784,23020,8,LM,1,100,1397374.3723362,1397374.3723715,1397374.3761653,sync_event,
1671015137.697004,148180,23088,8,LM,1,100,1397374.8732088,1397374.8732440,1397374.8762439,sync_event,
1671015138.201816,148669,23178,8,LM,1,100,1397375.3734128,1397375.3734481,1397375.3766496,sync_event,
1671015138.735535,149186,23266,8,LM,1,100,1397375.8739000,1397375.8739353,1397375.8776446,sync_event,
1671015139.255832,149690,23353,8,LM,1,100,1397376.3748499,1397376.3748796,1397376.3968574,sync_event,
1671015139.761678,150180,23440,8,LM,1,100,1397376.8755264,1397376.8755561,1397376.8772474,sync_event,
1671015140.199389,150604,23514,8,LM,1,100,1397377.3758560,1397377.3758857,1397377.3780159,sync_event,
1671015140.760980,151148,23601,8,LM,1,100,1397377.8768487,1397377.8768784,1397377.8780622,sync_event,
1671015141.191464,151565,23674,8,LM,1,100,1397378.3776911,1397378.3777280,1397378.3792768,sync_event,
1671015141.795382,152150,23777,8,LM,1,100,1397378.8781989,1397378.8782358,1397378.9123794,sync_event,
1671015142.222769,152564,23840,8,LM,1,100,1397379.3783307,1397379.3783676,1397379.3794168,sync_event,
1671015142.724485,153050,23934,8,LM,1,100,1397379.8788587,1397379.8788956,1397379.8961462,sync_event,
1671015143.255106,153564,24021,8,LM,1,100,1397380.3796590,1397380.3796875,1397380.3840095,sync_event,
1671015143.887929,154177,24126,8,LM,1,100,1397380.8802435,1397380.8802720,1397380.9497586,sync_event,
