LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015049.561229,62805.000,8403,3,AX,1,100,0.003
1671015049.600802,62843.333,8422,3,AX,1,100,0.105
1671015049.640375,62881.667,8422,3,AX,1,100,0.189
1671015049.679948,62920.000,8422,3,AX,1,100,0.339
1671015049.720209,62959.000,8440,2,AX,1,100,0.344
1671015049.760470,62998.000,8440,2,AX,1,100,0.327
1671015049.800731,63037.000,8455,3,AX,1,100,0.271
1671015049.840993,63076.000,8455,3,AX,1,100,0.182
1671015049.881254,63115.000,8455,3,AX,1,100,0.117
1671015049.921515,63154.000,8471,2,AX,1,100,0.118
1671015049.961776,63193.000,8471,2,AX,1,100,0.095
1671015050.001693,63231.667,8490,3,AX,1,100,0.090
1671015050.041610,63270.333,8490,3,AX,1,100,0.095
1671015050.081527,63309.000,8490,3,AX,1,100,0.096
1671015050.121100,63347.333,8510,3,AX,1,100,0.038
1671015050.160673,63385.667,8510,3,AX,1,100,0.010
1671015050.200246,63424.000,8510,3,AX,1,100,0.006
1671015050.239991,63462.500,8526,2,AX,1,100,0.011
1671015050.279736,63501.000,8526,2,AX,1,100,0.034
1671015050.319653,63539.667,8542,3,AX,1,100,0.051
1671015050.359570,63578.333,8542,3,AX,1,100,0.070
1671015050.399487,63617.000,8542,3,AX,1,100,0.093
1671015050.440092,63656.333,8560,3,AX,1,100,0.109
1671015050.480698,63695.667,8560,3,AX,1,100,0.098
1671015050.521303,63735.000,8560,3,AX,1,100,0.042
1671015050.568790,63781.000,8577,2,AX,1,100,-0.035
1671015050.616278,63827.000,8577,2,AX,1,100,-0.105
1671015050.656539,63866.000,8597,2,AX,1,100,-0.032
1671015050.696800,63905.000,8597,2,AX,1,100,0.040
1671015050.736373,63943.333,8613,3,AX,1,100,0.138
1671015050.775946,63981.667,8613,3,AX,1,100,0.171
1671015050.815519,64020.000,8613,3,AX,1,100,0.135
1671015050.855092,64058.333,8628,3,AX,1,100,0.161
1671015050.894665,64096.667,8628,3,AX,1,100,0.246
1671015050.934237,64135.000,8628,3,AX,1,100,0.266
1671015050.973983,64173.500,8646,2,AX,1,100,0.321
1671015051.013727,64212.000,8646,2,AX,1,100,0.394
1671015051.053300,64250.333,8664,3,AX,1,100,0.414
1671015051.092873,64288.667,8664,3,AX,1,100,0.423
1671015051.132446,64327.000,8664,3,AX,1,100,0.456
1671015051.172708,64366.000,8681,2,AX,1,100,0.440
1671015051.212969,64405.000,8681,2,AX,1,100,0.420
1671015051.253574,64444.333,8698,3,AX,1,100,0.408
1671015051.294179,64483.667,8698,3,AX,1,100,0.332
1671015051.334784,64523.000,8698,3,AX,1,100,0.300
1671015051.375046,64562.000,8716,3,AX,1,100,0.340
1671015051.415307,64601.000,8716,3,AX,1,100,0.447
1671015051.455568,64640.000,8716,3,AX,1,100,0.439
1671015051.495313,64678.500,8732,2,AX,1,100,0.444
1671015051.535058,64717.000,8732,2,AX,1,100,0.397
1671015051.574631,64755.333,8749,3,AX,1,100,0.409
1671015051.614204,64793.667,8749,3,AX,1,100,0.390
1671015051.653776,64832.000,8749,3,AX,1,100,0.389
1671015051.700232,64877.000,8769,2,AX,1,100,0.344
1671015051.746687,64922.000,8769,2,AX,1,100,0.340
1671015051.786604,64960.667,8784,3,AX,1,100,0.435
1671015051.826521,64999.333,8784,3,AX,1,100,0.499
1671015051.866438,65038.000,8784,3,AX,1,100,0.449
1671015051.906183,65076.500,8800,2,AX,1,100,0.371
1671015051.945928,65115.000,8800,2,AX,1,100,0.336
1671015051.985501,65153.333,8818,3,AX,1,100,0.391
1671015052.025074,65191.667,8818,3,AX,1,100,0.450
1671015052.064647,65230.000,8818,3,AX,1,100,0.562
1671015052.104564,65268.667,8837,3,AX,1,100,0.544
1671015052.144481,65307.333,8837,3,AX,1,100,0.387
1671015052.184398,65346.000,8837,3,AX,1,100,0.263
1671015052.223627,65384.000,8856,3,AX,1,100,0.226
1671015052.262855,65422.000,8856,3,AX,1,100,0.220
1671015052.302084,65460.000,8856,3,AX,1,100,0.281
1671015052.342087,65498.750,8881,4,AX,1,100,0.357
1671015052.382090,65537.500,8881,4,AX,1,100,0.370
1671015052.422093,65576.250,8881,4,AX,1,100,0.385
1671015052.462096,65615.000,8881,4,AX,1,100,0.385
1671015052.501669,65653.333,8897,3,AX,1,100,0.384
1671015052.541242,65691.667,8897,3,AX,1,100,0.371
1671015052.580815,65730.000,8897,3,AX,1,100,0.364
1671015052.620732,65768.667,8916,3,AX,1,100,0.349
1671015052.660649,65807.333,8916,3,AX,1,100,0.325
1671015052.700566,65846.000,8916,3,AX,1,100,0.323
1671015052.741860,65886.000,8932,2,AX,1,100,0.334
1671015052.783153,65926.000,8932,2,AX,1,100,0.308
1671015052.830641,65972.000,8949,2,AX,1,100,0.225
1671015052.878128,66018.000,8949,2,AX,1,100,0.250
1671015052.918045,66056.667,8965,3,AX,1,100,0.233
1671015052.957962,66095.333,8965,3,AX,1,100,0.237
1671015052.997879,66134.000,8965,3,AX,1,100,0.308
