LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670854286.152166,330196.000,51992,1,BV,1,100,4.00
1670854287.149243,331162.000,52159,1,BV,1,100,4.00
1670854288.142192,332124.000,52311,1,BV,1,100,4.00
1670854289.142366,333093.000,52460,1,BV,1,100,4.00
1670854290.137379,334057.000,52627,1,BV,1,100,4.00
1670854291.137552,335026.000,52775,1,BV,1,100,4.00
1670854292.139791,335997.000,52942,1,BV,1,100,4.00
1670854293.138932,336965.000,53099,1,BV,1,100,3.99
1670854294.137042,337932.000,53248,1,BV,1,100,3.99
1670854295.140312,338904.000,53415,1,BV,1,100,4.00
1670854296.134293,339867.000,53580,1,BV,1,100,4.00
1670854297.129306,340831.000,53730,1,BV,1,100,4.00
1670854298.122255,341793.000,53885,1,BV,1,100,4.00
1670854299.122428,342762.000,54051,1,BV,1,100,4.00
1670854300.120538,343729.000,54200,1,BV,1,100,4.00
1670854301.119680,344697.000,54366,1,BV,1,100,4.00
1670854302.119853,345666.000,54515,1,BV,1,100,4.00
1670854303.116931,346632.000,54682,1,BV,1,100,4.00
1670854304.114008,347598.000,54836,1,BV,1,100,4.00
1670854305.114182,348567.000,54986,1,BV,1,100,3.99
1670854306.109195,349531.000,55152,1,BV,1,100,4.00
1670854307.105240,350496.000,55302,1,BV,1,100,4.00
1670854308.103350,351463.000,55467,1,BV,1,100,3.99
1670854309.104556,352433.000,55623,1,BV,1,100,3.99
1670854310.103697,353401.000,55771,1,BV,1,100,3.99
1670854311.104903,354371.000,55938,1,BV,1,100,4.00
1670854312.105077,355340.000,56087,1,BV,1,100,4.00
1670854313.100090,356304.000,56254,1,BV,1,100,4.00
1670854314.097167,357270.000,56408,1,BV,1,100,4.00
1670854315.097341,358239.000,56557,1,BV,1,100,4.00
1670854316.090290,359201.000,56724,1,BV,1,100,4.00
1670854317.086335,360166.000,56872,1,BV,1,100,3.99
1670854318.084445,361133.000,57039,1,BV,1,100,3.99
1670854319.085650,362103.000,57205,1,BV,1,100,4.00
1670854320.083760,363070.000,57344,1,BV,1,100,3.99
1670854321.083934,364039.000,57511,1,BV,1,100,3.99
1670854322.086172,365010.000,57660,1,BV,1,100,3.99
1670854323.082217,365975.000,57827,1,BV,1,100,3.99
1670854324.080327,366942.000,57991,1,BV,1,100,3.99
1670854325.074307,367905.000,58130,1,BV,1,100,4.00
1670854326.069320,368869.000,58297,1,BV,1,100,4.00
1670854327.067430,369836.000,58445,1,BV,1,100,3.99
1670854328.067604,370805.000,58612,1,BV,1,100,3.99
1670854329.071906,371778.000,58778,1,BV,1,100,3.99
1670854330.067951,372743.000,58917,1,BV,1,100,3.99
1670854331.072254,373716.000,59084,1,BV,1,100,4.00
1670854332.069331,374682.000,59248,1,BV,1,100,4.00
1670854333.062280,375644.000,59400,1,BV,1,100,3.99
1670854334.060390,376611.000,59548,1,BV,1,100,4.00
1670854335.055403,377575.000,59715,1,BV,1,100,4.00
1670854336.054544,378543.000,59870,1,BV,1,100,3.99
1670854337.050589,379508.000,60018,1,BV,1,100,3.99
1670854338.054892,380481.000,60185,1,BV,1,100,3.99
1670854339.055066,381450.000,60334,1,BV,1,100,3.99
