LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671000928.466001,37366.000,1846,1,EL,1,100,26467.000000
1671000928.532751,37432.000,1854,2,EL,1,100,26467.000000
1671000928.599500,37498.000,1854,2,EL,1,100,26467.000000
1671000928.664227,37562.000,1862,1,EL,1,100,26467.000000
1671000928.730977,37628.000,1870,2,EL,1,100,26467.000000
1671000928.797726,37694.000,1870,2,EL,1,100,26467.000000
1671000928.865487,37761.000,1877,1,EL,1,100,26467.000000
1671000928.931731,37826.500,1886,2,EL,1,100,26467.000000
1671000928.997975,37892.000,1886,2,EL,1,100,26467.000000
1671000929.063714,37957.000,1893,1,EL,1,100,26466.800781
1671000929.130463,38023.000,1899,2,EL,1,100,26466.599609
1671000929.197213,38089.000,1899,2,EL,1,100,26466.599609
1671000929.263963,38155.000,1906,1,EL,1,100,26466.400391
1671000929.330712,38221.000,1915,2,EL,1,100,26466.599609
1671000929.397462,38287.000,1915,2,EL,1,100,26467.000000
1671000929.464211,38353.000,1922,1,EL,1,100,26467.000000
1671000929.530961,38419.000,1928,2,EL,1,100,26467.000000
1671000929.597711,38485.000,1928,2,EL,1,100,26467.000000
1671000929.664460,38551.000,1936,1,EL,1,100,26467.000000
1671000929.731210,38617.000,1946,2,EL,1,100,26467.000000
1671000929.797959,38683.000,1946,2,EL,1,100,26466.800781
1671000929.863192,38747.500,1953,2,EL,1,100,26467.000000
1671000929.928425,38812.000,1953,2,EL,1,100,26467.000000
1671000929.995174,38878.000,1962,1,EL,1,100,26467.000000
1671000930.061924,38944.000,1967,2,EL,1,100,26466.800781
1671000930.128673,39010.000,1967,2,EL,1,100,26467.000000
1671000930.195423,39076.000,1975,1,EL,1,100,26466.800781
1671000930.262173,39142.000,1983,2,EL,1,100,26467.000000
1671000930.328922,39208.000,1983,2,EL,1,100,26467.000000
1671000930.395672,39274.000,1991,1,EL,1,100,26467.000000
1671000930.461410,39339.000,1996,2,EL,1,100,26467.000000
1671000930.527148,39404.000,1996,2,EL,1,100,26467.000000
1671000930.594909,39471.000,2004,1,EL,1,100,26467.000000
1671000930.661659,39537.000,2014,2,EL,1,100,26467.000000
1671000930.728409,39603.000,2014,2,EL,1,100,26467.000000
1671000930.794147,39668.000,2027,1,EL,1,100,26467.000000
1671000930.860391,39733.500,2033,2,EL,1,100,26467.000000
1671000930.926635,39799.000,2033,2,EL,1,100,26467.000000
1671000930.993384,39865.000,2041,2,EL,1,100,26467.000000
1671000931.060134,39931.000,2041,2,EL,1,100,26467.199219
