LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
637365.804206,637365.804184,1673971862.605532,3574283,60529,8,LM,1,100,637365.7325470,637365.7325552,637365.7563677,sync_event,
637366.314018,637366.313995,1673971863.115330,3574777,60615,8,LM,1,100,637366.2325515,637366.2325597,637366.2562222,sync_event,
637366.828989,637366.828967,1673971863.630287,3575276,60700,8,LM,1,100,637366.7332202,637366.7332147,637366.7563028,sync_event,
637367.259337,637367.259314,1673971864.060622,3575693,60770,8,LM,1,100,637367.2334444,637367.2334389,637367.2403461,sync_event,
637367.787724,637367.787702,1673971864.588994,3576205,60856,8,LM,1,100,637367.7340940,637367.7340884,637367.7725599,sync_event,
637368.289280,637368.289258,1673971865.090536,3576691,60942,8,LM,1,100,637368.2343944,637368.2343889,637368.2726202,sync_event,
637368.814572,637368.814549,1673971865.615813,3577200,61028,8,LM,1,100,637368.7351238,637368.7351381,637368.7566618,sync_event,
637369.271751,637369.271729,1673971866.072979,3577643,61087,8,LM,1,100,637369.2352578,637369.2352721,637369.2563069,sync_event,
637369.798075,637369.798052,1673971866.599288,3578153,61173,8,LM,1,100,637369.7354446,637369.7354589,637369.7562390,sync_event,
637370.302726,637370.302704,1673971867.103925,3578642,61259,8,LM,1,100,637370.2364181,637370.2364324,637370.2394149,sync_event,
637370.756810,637370.756787,1673971867.557995,3579082,61327,8,LM,1,100,637370.7371706,637370.7371927,637370.7395739,sync_event,
637371.267653,637371.267631,1673971868.068824,3579577,61414,8,LM,1,100,637371.2372299,637371.2372520,637371.2394039,sync_event,
637371.786753,637371.786731,1673971868.587909,3580080,61500,8,LM,1,100,637371.7380584,637371.7380805,637371.7402935,sync_event,
637372.411118,637372.411095,1673971869.212256,3580685,61604,8,LM,1,100,637372.2381677,637372.2381898,637372.2883674,sync_event,
637372.809473,637372.809450,1673971869.610600,3581071,61672,8,LM,1,100,637372.7387223,637372.7387442,637372.7727605,sync_event,
637373.324444,637373.324422,1673971870.125557,3581570,61758,8,LM,1,100,637373.2390842,637373.2391060,637373.2727843,sync_event,
637373.792976,637373.792953,1673971870.594075,3582024,61828,8,LM,1,100,637373.7395035,637373.7395254,637373.7725645,sync_event,
637374.304851,637374.304829,1673971871.105936,3582520,61914,8,LM,1,100,637374.2397332,637374.2397551,637374.2727385,sync_event,
637374.821887,637374.821865,1673971871.622957,3583021,61988,8,LM,1,100,637374.7397406,637374.7397481,637374.7726560,sync_event,
637375.339955,637375.339932,1673971872.141010,3583523,62075,8,LM,1,100,637375.2398458,637375.2398533,637375.2408205,sync_event,
637375.784750,637375.784728,1673971872.585793,3583954,62144,8,LM,1,100,637375.7407534,637375.7407609,637375.7726334,sync_event,
637376.422531,637376.422508,1673971873.223555,3584572,62248,8,LM,1,100,637376.2411498,637376.2411574,637376.2544835,sync_event,
637376.854942,637376.854919,1673971873.655954,3584991,62316,8,LM,1,100,637376.7413997,637376.7413952,637376.8220902,sync_event,
637377.289417,637377.289394,1673971874.090417,3585412,62386,8,LM,1,100,637377.2436018,637377.2435972,637377.2726703,sync_event,
637377.793036,637377.793014,1673971874.594022,3585900,62472,8,LM,1,100,637377.7442639,637377.7442594,637377.7727372,sync_event,
637378.303880,637378.303858,1673971875.104851,3586395,62558,8,LM,1,100,637378.2450971,637378.2450926,637378.2726752,sync_event,
637378.818852,637378.818829,1673971875.619808,3586894,62643,8,LM,1,100,637378.7450425,637378.7450393,637378.7730299,sync_event,
637379.337952,637379.337929,1673971876.138893,3587397,62730,8,LM,1,100,637379.2453696,637379.2453664,637379.2726951,sync_event,
637379.842603,637379.842581,1673971876.643530,3587886,62788,8,LM,1,100,637379.7460500,637379.7460467,637379.7726979,sync_event,
637380.275014,637380.274992,1673971877.075929,3588305,62859,8,LM,1,100,637380.2468154,637380.2468121,637380.2570912,sync_event,
637380.826106,637380.826084,1673971877.627006,3588839,62946,8,LM,1,100,637380.7477826,637380.7478100,637380.7877161,sync_event,
637381.318374,637381.318351,1673971878.119259,3589316,63032,8,LM,1,100,637381.2482599,637381.2482873,637381.2727251,sync_event,
637381.786905,637381.786883,1673971878.587777,3589770,63101,8,LM,1,100,637381.7487237,637381.7487511,637381.7726713,sync_event,
637382.295685,637382.295662,1673971879.096542,3590263,63188,8,LM,1,100,637382.2493160,637382.2493435,637382.2726142,sync_event,
637382.810657,637382.810634,1673971879.611500,3590762,63273,8,LM,1,100,637382.7493878,637382.7493945,637382.7726544,sync_event,
637383.325628,637383.325606,1673971880.126456,3591261,63359,8,LM,1,100,637383.2496882,637383.2496949,637383.2729670,sync_event,
637383.846792,637383.846770,1673971880.647605,3591766,63445,8,LM,1,100,637383.7503531,637383.7503599,637383.7725651,sync_event,
637384.286427,637384.286405,1673971881.087228,3592192,63501,8,LM,1,100,637384.2509340,637384.2509408,637384.2728521,sync_event,
