LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
637563.139853,637563.139828,1673972059.935570,3765498.333,27166,3,AY,1,100,-0.069
637563.179757,637563.179732,1673972059.975473,3765537.000,27166,3,AY,1,100,-0.067
637563.221038,637563.221012,1673972060.016752,3765577.000,27180,2,AY,1,100,-0.068
637563.262318,637563.262293,1673972060.058031,3765617.000,27180,2,AY,1,100,-0.069
637563.302566,637563.302541,1673972060.098278,3765656.000,27198,3,AY,1,100,-0.069
637563.342814,637563.342789,1673972060.138525,3765695.000,27198,3,AY,1,100,-0.067
637563.383063,637563.383037,1673972060.178772,3765734.000,27198,3,AY,1,100,-0.065
637563.422795,637563.422770,1673972060.218504,3765772.500,27217,2,AY,1,100,-0.067
637563.462527,637563.462502,1673972060.258235,3765811.000,27217,2,AY,1,100,-0.067
637563.501744,637563.501718,1673972060.297450,3765849.000,27234,3,AY,1,100,-0.067
637563.540960,637563.540935,1673972060.336665,3765887.000,27234,3,AY,1,100,-0.067
637563.580176,637563.580151,1673972060.375880,3765925.000,27234,3,AY,1,100,-0.068
637563.620080,637563.620055,1673972060.415783,3765963.667,27252,3,AY,1,100,-0.068
637563.659985,637563.659959,1673972060.455687,3766002.333,27252,3,AY,1,100,-0.067
637563.699889,637563.699864,1673972060.495590,3766041.000,27252,3,AY,1,100,-0.068
637563.739621,637563.739596,1673972060.535321,3766079.500,27268,2,AY,1,100,-0.067
637563.779354,637563.779328,1673972060.575052,3766118.000,27268,2,AY,1,100,-0.066
637563.819946,637563.819921,1673972060.615643,3766157.333,27284,3,AY,1,100,-0.066
637563.860538,637563.860513,1673972060.656234,3766196.667,27284,3,AY,1,100,-0.066
637563.901130,637563.901105,1673972060.696826,3766236.000,27284,3,AY,1,100,-0.068
637563.941379,637563.941353,1673972060.737073,3766275.000,27302,2,AY,1,100,-0.069
637563.981627,637563.981602,1673972060.777320,3766314.000,27302,2,AY,1,100,-0.068
637564.021875,637564.021850,1673972060.817567,3766353.000,27321,3,AY,1,100,-0.067
637564.062124,637564.062098,1673972060.857814,3766392.000,27321,3,AY,1,100,-0.067
637564.102372,637564.102347,1673972060.898061,3766431.000,27321,3,AY,1,100,-0.066
637564.148812,637564.148787,1673972060.944500,3766476.000,27336,2,AY,1,100,-0.069
637564.195253,637564.195227,1673972060.990939,3766521.000,27336,2,AY,1,100,-0.068
637564.235157,637564.235132,1673972061.030843,3766559.667,27353,3,AY,1,100,-0.068
637564.275061,637564.275036,1673972061.070745,3766598.333,27353,3,AY,1,100,-0.068
637564.314965,637564.314940,1673972061.110649,3766637.000,27353,3,AY,1,100,-0.068
