LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
637411.870954,637411.870931,1673971908.670971,3618921.000,2470,1,B%,1,100,49
637412.872001,637412.871978,1673971909.671990,3619891.000,2643,1,B%,1,100,49
637413.869953,637413.869930,1673971910.669913,3620858.000,2798,1,B%,1,100,49
637414.869968,637414.869945,1673971911.669899,3621827.000,2971,1,B%,1,100,50
637415.872047,637415.872024,1673971912.671950,3622798.000,3122,1,B%,1,100,49
637416.871030,637416.871007,1673971913.670905,3623766.000,3303,1,B%,1,100,49
637417.867949,637417.867926,1673971914.667796,3624732.000,3458,1,B%,1,100,49
637418.864869,637418.864846,1673971915.664687,3625698.000,3631,1,B%,1,100,49
637419.860756,637419.860733,1673971916.660545,3626663.000,3802,1,B%,1,100,50
637420.856643,637420.856620,1673971917.656404,3627628.000,3958,1,B%,1,100,50
637421.851498,637421.851475,1673971918.651231,3628592.000,4119,1,B%,1,100,49
637422.853577,637422.853554,1673971919.653282,3629563.000,4275,1,B%,1,100,49
637423.849465,637423.849441,1673971920.649141,3630528.000,4430,1,B%,1,100,49
637424.851544,637424.851521,1673971921.651191,3631499.000,4602,1,B%,1,100,49
637425.851559,637425.851536,1673971922.651178,3632468.000,4755,1,B%,1,100,50
637426.850542,637426.850519,1673971923.650133,3633436.000,4930,1,B%,1,100,50
637427.849525,637427.849502,1673971924.649088,3634404.000,5088,1,B%,1,100,49
637428.842317,637428.842293,1673971925.641851,3635366.000,5242,1,B%,1,100,49
637429.839236,637429.839213,1673971926.638742,3636332.000,5418,1,B%,1,100,49
637430.835123,637430.835100,1673971927.634601,3637297.000,5572,1,B%,1,100,50
637431.833074,637431.833051,1673971928.632524,3638264.000,5745,1,B%,1,100,49
637432.833089,637432.833066,1673971929.632510,3639233.000,5902,1,B%,1,100,49
637433.828977,637433.828953,1673971930.628369,3640198.000,6078,1,B%,1,100,49
637434.837248,637434.837224,1673971931.636612,3641175.000,6229,1,B%,1,100,49
637435.834167,637435.834144,1673971932.633502,3642141.000,6405,1,B%,1,100,49
637436.832118,637436.832095,1673971933.631425,3643108.000,6557,1,B%,1,100,49
637437.828005,637437.827982,1673971934.627284,3644073.000,6738,1,B%,1,100,49
637438.824925,637438.824901,1673971935.624175,3645039.000,6889,1,B%,1,100,49
637439.819780,637439.819756,1673971936.619002,3646003.000,7065,1,B%,1,100,49
637440.819795,637440.819772,1673971937.618989,3646972.000,7217,1,B%,1,100,49
637441.819810,637441.819787,1673971938.618976,3647941.000,7393,1,B%,1,100,49
637442.818793,637442.818770,1673971939.617930,3648909.000,7544,1,B%,1,100,49
637443.817777,637443.817753,1673971940.616885,3649877.000,7709,1,B%,1,100,49
637444.821920,637444.821896,1673971941.621000,3650850.000,7861,1,B%,1,100,49
637445.817807,637445.817783,1673971942.616859,3651815.000,8034,1,B%,1,100,49
637446.817822,637446.817799,1673971943.616846,3652784.000,8188,1,B%,1,100,49
637447.811645,637447.811622,1673971944.610641,3653747.000,8364,1,B%,1,100,49
637448.805469,637448.805445,1673971945.604435,3654710.000,8507,1,B%,1,100,49
637449.802388,637449.802364,1673971946.601326,3655676.000,8680,1,B%,1,100,49
637450.804467,637450.804443,1673971947.603377,3656647.000,8855,1,B%,1,100,49
637451.802418,637451.802395,1673971948.601300,3657614.000,9010,1,B%,1,100,49
637452.799337,637452.799314,1673971949.598191,3658580.000,9162,1,B%,1,100,49
637453.800385,637453.800361,1673971950.599209,3659550.000,9343,1,B%,1,100,49
637454.799368,637454.799344,1673971951.598164,3660518.000,9501,1,B%,1,100,48
637455.796287,637455.796263,1673971952.595055,3661484.000,9653,1,B%,1,100,49
637456.792174,637456.792150,1673971953.590914,3662449.000,9828,1,B%,1,100,49
637457.785997,637457.785974,1673971954.584709,3663412.000,9981,1,B%,1,100,49
637458.786012,637458.785989,1673971955.584696,3664381.000,10135,1,B%,1,100,49
637459.782932,637459.782908,1673971956.581586,3665347.000,10313,1,B%,1,100,49
637460.788107,637460.788083,1673971957.586733,3666321.000,10468,1,B%,1,100,49
637461.786058,637461.786034,1673971958.584656,3667288.000,10641,1,B%,1,100,49
637462.785041,637462.785018,1673971959.583611,3668256.000,10816,1,B%,1,100,49
637463.785057,637463.785033,1673971960.583598,3669225.000,10968,1,B%,1,100,49
637464.787136,637464.787112,1673971961.585648,3670196.000,11148,1,B%,1,100,49
637465.778895,637465.778871,1673971962.577379,3671157.000,11301,1,B%,1,100,49
637466.773750,637466.773726,1673971963.572206,3672121.000,11474,1,B%,1,100,49
637467.771701,637467.771677,1673971964.570129,3673088.000,11628,1,B%,1,100,49
637468.770684,637468.770661,1673971965.569084,3674056.000,11800,1,B%,1,100,49
637469.769668,637469.769644,1673971966.568039,3675024.000,11960,1,B%,1,100,49
637470.771747,637470.771723,1673971967.570089,3675995.000,12133,1,B%,1,100,49
637471.772794,637471.772770,1673971968.571108,3676965.000,12288,1,B%,1,100,48
637472.769713,637472.769689,1673971969.567999,3677931.000,12460,1,B%,1,100,49
637473.771793,637473.771769,1673971970.570050,3678902.000,12615,1,B%,1,100,48
637474.768712,637474.768688,1673971971.566941,3679868.000,12775,1,B%,1,100,49
637475.762535,637475.762511,1673971972.560735,3680831.000,12948,1,B%,1,100,49
637476.760486,637476.760462,1673971973.558658,3681798.000,13103,1,B%,1,100,48
637477.758437,637477.758413,1673971974.556581,3682765.000,13276,1,B%,1,100,49
637478.757421,637478.757396,1673971975.555536,3683733.000,13448,1,B%,1,100,49
637479.753308,637479.753284,1673971976.551395,3684698.000,13603,1,B%,1,100,49
637480.756419,637480.756395,1673971977.554477,3685670.000,13763,1,B%,1,100,48
637481.755402,637481.755378,1673971978.553432,3686638.000,13936,1,B%,1,100,48
637482.752321,637482.752297,1673971979.550323,3687604.000,14090,1,B%,1,100,49
637483.750273,637483.750248,1673971980.548246,3688571.000,14263,1,B%,1,100,49
637484.746160,637484.746136,1673971981.544105,3689536.000,14418,1,B%,1,100,49
637485.739983,637485.739959,1673971982.537900,3690499.000,14578,1,B%,1,100,49
637486.738966,637486.738942,1673971983.536855,3691467.000,14751,1,B%,1,100,49
637487.738981,637487.738957,1673971984.536841,3692436.000,14921,1,B%,1,100,48
637488.738996,637488.738972,1673971985.536828,3693405.000,15076,1,B%,1,100,49
637489.733852,637489.733827,1673971986.531655,3694369.000,15234,1,B%,1,100,48
637490.741091,637490.741067,1673971987.538866,3695345.000,15394,1,B%,1,100,48
637491.739042,637491.739018,1673971988.536788,3696312.000,15567,1,B%,1,100,48
637492.733897,637492.733873,1673971989.531615,3697276.000,15721,1,B%,1,100,49
637493.729784,637493.729760,1673971990.527474,3698241.000,15894,1,B%,1,100,49
637494.726704,637494.726679,1673971991.524365,3699207.000,16050,1,B%,1,100,48
637495.724655,637495.724631,1673971992.522288,3700174.000,16229,1,B%,1,100,48
637496.723638,637496.723614,1673971993.521243,3701142.000,16384,1,B%,1,100,48
637497.727781,637497.727757,1673971994.525357,3702115.000,16541,1,B%,1,100,48
637498.724700,637498.724676,1673971995.522248,3703081.000,16714,1,B%,1,100,48
637499.725748,637499.725723,1673971996.523267,3704051.000,16868,1,B%,1,100,49
637500.728859,637500.728835,1673971997.526350,3705023.000,17041,1,B%,1,100,48
637501.722682,637501.722658,1673971998.520145,3705986.000,17186,1,B%,1,100,48
637502.721665,637502.721641,1673971999.519099,3706954.000,17359,1,B%,1,100,48
637503.714456,637503.714432,1673972000.511863,3707916.000,17514,1,B%,1,100,48
637504.714472,637504.714447,1673972001.511849,3708885.000,17689,1,B%,1,100,48
637505.709327,637505.709302,1673972002.506676,3709849.000,17843,1,B%,1,100,48
637506.710374,637506.710350,1673972003.507695,3710819.000,18007,1,B%,1,100,48
637507.710389,637507.710365,1673972004.507682,3711788.000,18177,1,B%,1,100,48
637508.704212,637508.704188,1673972005.501477,3712751.000,18334,1,B%,1,100,48
637509.707324,637509.707299,1673972006.504559,3713723.000,18505,1,B%,1,100,48
637510.707339,637510.707314,1673972007.504546,3714692.000,18662,1,B%,1,100,48
637511.700130,637511.700106,1673972008.497309,3715654.000,18822,1,B%,1,100,48
637512.694985,637512.694961,1673972009.492136,3716618.000,18994,1,B%,1,100,48
637513.690872,637513.690848,1673972010.487995,3717583.000,19150,1,B%,1,100,48
