LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637524.052227,637524.052202,1673972020.849055,3727623.000,20838,3,PG,1,100,811
637524.091443,637524.091419,1673972020.888270,3727661.000,20838,3,PG,1,100,815
637524.132036,637524.132011,1673972020.928861,3727700.333,20854,3,PG,1,100,808
637524.172628,637524.172603,1673972020.969452,3727739.667,20854,3,PG,1,100,821
637524.213220,637524.213196,1673972021.010044,3727779.000,20854,3,PG,1,100,810
637524.253469,637524.253444,1673972021.050291,3727818.000,20871,3,PG,1,100,817
637524.293717,637524.293692,1673972021.090538,3727857.000,20871,3,PG,1,100,811
637524.333965,637524.333940,1673972021.130785,3727896.000,20871,3,PG,1,100,812
637524.374213,637524.374189,1673972021.171032,3727935.000,20891,2,PG,1,100,806
637524.414462,637524.414437,1673972021.211279,3727974.000,20891,2,PG,1,100,810
637524.454366,637524.454341,1673972021.251182,3728012.667,20908,3,PG,1,100,819
637524.494270,637524.494246,1673972021.291085,3728051.333,20908,3,PG,1,100,813
637524.534175,637524.534150,1673972021.330989,3728090.000,20908,3,PG,1,100,816
637524.573907,637524.573882,1673972021.370720,3728128.500,20922,2,PG,1,100,816
637524.613639,637524.613614,1673972021.410451,3728167.000,20922,2,PG,1,100,813
637524.657671,637524.657647,1673972021.454482,3728209.667,20940,3,PG,1,100,809
637524.701704,637524.701679,1673972021.498513,3728252.333,20940,3,PG,1,100,818
637524.745736,637524.745711,1673972021.542544,3728295.000,20940,3,PG,1,100,813
637524.785984,637524.785960,1673972021.582791,3728334.000,20958,2,PG,1,100,813
637524.826233,637524.826208,1673972021.623039,3728373.000,20958,2,PG,1,100,809
637524.865793,637524.865768,1673972021.662598,3728411.333,20976,3,PG,1,100,804
637524.905353,637524.905329,1673972021.702157,3728449.667,20976,3,PG,1,100,819
637524.944914,637524.944889,1673972021.741716,3728488.000,20976,3,PG,1,100,814
637524.985850,637524.985825,1673972021.782651,3728527.667,20992,3,PG,1,100,815
637525.026786,637525.026761,1673972021.823586,3728567.333,20992,3,PG,1,100,807
637525.067722,637525.067698,1673972021.864522,3728607.000,20992,3,PG,1,100,812
637525.107455,637525.107430,1673972021.904253,3728645.500,21010,2,PG,1,100,809
637525.147187,637525.147162,1673972021.943984,3728684.000,21010,2,PG,1,100,814
637525.187091,637525.187067,1673972021.983887,3728722.667,21026,3,PG,1,100,815
637525.226996,637525.226971,1673972022.023790,3728761.333,21026,3,PG,1,100,824
637525.266900,637525.266875,1673972022.063693,3728800.000,21026,3,PG,1,100,812
637525.307148,637525.307123,1673972022.103940,3728839.000,21044,2,PG,1,100,812
637525.347396,637525.347372,1673972022.144187,3728878.000,21044,2,PG,1,100,816
637525.387301,637525.387276,1673972022.184091,3728916.667,21063,3,PG,1,100,815
637525.427205,637525.427180,1673972022.223994,3728955.333,21063,3,PG,1,100,801
637525.467109,637525.467085,1673972022.263897,3728994.000,21063,3,PG,1,100,816
637525.506326,637525.506301,1673972022.303112,3729032.000,21078,3,PG,1,100,812
637525.545542,637525.545517,1673972022.342327,3729070.000,21078,3,PG,1,100,810
637525.584758,637525.584733,1673972022.381542,3729108.000,21078,3,PG,1,100,813
637525.625522,637525.625498,1673972022.422306,3729147.500,21094,2,PG,1,100,816
637525.666287,637525.666262,1673972022.463069,3729187.000,21094,2,PG,1,100,812
637525.706879,637525.706854,1673972022.503660,3729226.333,21114,3,PG,1,100,811
637525.747471,637525.747447,1673972022.544251,3729265.667,21114,3,PG,1,100,811
637525.788064,637525.788039,1673972022.584842,3729305.000,21114,3,PG,1,100,816
637525.829344,637525.829319,1673972022.626121,3729345.000,21130,2,PG,1,100,807
637525.870624,637525.870599,1673972022.667400,3729385.000,21130,2,PG,1,100,799
637525.910529,637525.910504,1673972022.707304,3729423.667,21149,3,PG,1,100,818
637525.950433,637525.950408,1673972022.747207,3729462.333,21149,3,PG,1,100,809
637525.990337,637525.990312,1673972022.787110,3729501.000,21149,3,PG,1,100,814
637526.030241,637526.030217,1673972022.827013,3729539.667,21165,3,PG,1,100,808
637526.070146,637526.070121,1673972022.866916,3729578.333,21165,3,PG,1,100,814
637526.110050,637526.110025,1673972022.906819,3729617.000,21165,3,PG,1,100,812
637526.148750,637526.148725,1673972022.945518,3729654.500,21182,2,PG,1,100,807
637526.187451,637526.187426,1673972022.984218,3729692.000,21182,2,PG,1,100,810
637526.227355,637526.227330,1673972023.024121,3729730.667,21198,3,PG,1,100,826
637526.267259,637526.267234,1673972023.064024,3729769.333,21198,3,PG,1,100,811
637526.307163,637526.307139,1673972023.103927,3729808.000,21198,3,PG,1,100,812
637526.351884,637526.351859,1673972023.148646,3729851.333,21216,3,PG,1,100,811
637526.396604,637526.396579,1673972023.193365,3729894.667,21216,3,PG,1,100,823
637526.441324,637526.441300,1673972023.238084,3729938.000,21216,3,PG,1,100,812
637526.482261,637526.482236,1673972023.279019,3729977.667,21235,3,PG,1,100,803
637526.523197,637526.523172,1673972023.319955,3730017.333,21235,3,PG,1,100,810
637526.564133,637526.564108,1673972023.360890,3730057.000,21235,3,PG,1,100,817
637526.603866,637526.603841,1673972023.400621,3730095.500,21250,2,PG,1,100,811
637526.643598,637526.643573,1673972023.440352,3730134.000,21250,2,PG,1,100,805
637526.683502,637526.683477,1673972023.480255,3730172.667,21269,3,PG,1,100,822
637526.723406,637526.723382,1673972023.520158,3730211.333,21269,3,PG,1,100,814
637526.763311,637526.763286,1673972023.560061,3730250.000,21269,3,PG,1,100,811
637526.803559,637526.803534,1673972023.600309,3730289.000,21286,2,PG,1,100,807
637526.843807,637526.843782,1673972023.640556,3730328.000,21286,2,PG,1,100,820
637526.883368,637526.883343,1673972023.680115,3730366.333,21305,3,PG,1,100,813
637526.922928,637526.922903,1673972023.719674,3730404.667,21305,3,PG,1,100,811
