LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637445.587153,637445.587130,1673971942.386212,3651591.500,7988,2,EA,1,100,0.030319
637445.653718,637445.653694,1673971942.452774,3651656.000,7988,2,EA,1,100,0.030319
637445.718734,637445.718711,1673971942.517789,3651719.000,8004,1,EA,1,100,0.030319
637445.785299,637445.785275,1673971942.584352,3651783.500,8020,2,EA,1,100,0.030319
637445.851863,637445.851840,1673971942.650914,3651848.000,8020,2,EA,1,100,0.030319
637445.918944,637445.918920,1673971942.717993,3651913.000,8041,1,EA,1,100,0.030319
637445.985508,637445.985485,1673971942.784555,3651977.500,8058,2,EA,1,100,0.030319
637446.052073,637446.052049,1673971942.851118,3652042.000,8058,2,EA,1,100,0.030319
637446.118637,637446.118614,1673971942.917680,3652106.500,8075,2,EA,1,100,0.030319
637446.185202,637446.185178,1673971942.984243,3652171.000,8075,2,EA,1,100,0.030319
637446.253314,637446.253291,1673971943.052354,3652237.000,8092,1,EA,1,100,0.030320
637446.319879,637446.319855,1673971943.118916,3652301.500,8109,2,EA,1,100,0.030319
637446.386443,637446.386420,1673971943.185479,3652366.000,8109,2,EA,1,100,0.030319
637446.453524,637446.453500,1673971943.252557,3652431.000,8126,1,EA,1,100,0.030319
637446.519572,637446.519549,1673971943.318604,3652495.000,8143,2,EA,1,100,0.030319
637446.585621,637446.585597,1673971943.384650,3652559.000,8143,2,EA,1,100,0.030319
637446.651669,637446.651645,1673971943.450697,3652623.000,8160,2,EA,1,100,0.030319
637446.717717,637446.717694,1673971943.516744,3652687.000,8160,2,EA,1,100,0.030319
637446.784798,637446.784774,1673971943.583822,3652752.000,8176,1,EA,1,100,0.030319
637446.850846,637446.850823,1673971943.649869,3652816.000,8194,2,EA,1,100,0.030320
637446.916895,637446.916871,1673971943.715915,3652880.000,8194,2,EA,1,100,0.030319
637446.985007,637446.984984,1673971943.784026,3652946.000,8210,1,EA,1,100,0.030319
637447.050540,637447.050516,1673971943.849557,3653009.500,8230,2,EA,1,100,0.030319
637447.116072,637447.116049,1673971943.915087,3653073.000,8230,2,EA,1,100,0.030319
637447.182121,637447.182097,1673971943.981134,3653137.000,8247,2,EA,1,100,0.030319
637447.248169,637447.248146,1673971944.047180,3653201.000,8247,2,EA,1,100,0.030319
637447.313186,637447.313162,1673971944.112195,3653264.000,8264,1,EA,1,100,0.030319
637447.380266,637447.380243,1673971944.179274,3653329.000,8281,2,EA,1,100,0.030319
637447.447347,637447.447323,1673971944.246352,3653394.000,8281,2,EA,1,100,0.030319
637447.513395,637447.513372,1673971944.312399,3653458.000,8299,1,EA,1,100,0.030319
637447.579960,637447.579936,1673971944.378961,3653522.500,8315,2,EA,1,100,0.030319
637447.646524,637447.646501,1673971944.445524,3653587.000,8315,2,EA,1,100,0.030319
637447.713605,637447.713581,1673971944.512603,3653652.000,8332,1,EA,1,100,0.030319
637447.779137,637447.779114,1673971944.578133,3653715.500,8350,2,EA,1,100,0.030319
637447.844670,637447.844646,1673971944.643664,3653779.000,8350,2,EA,1,100,0.030319
637447.910718,637447.910695,1673971944.709710,3653843.000,8369,2,EA,1,100,0.030319
637447.976767,637447.976743,1673971944.775757,3653907.000,8369,2,EA,1,100,0.030319
637448.043847,637448.043823,1673971944.842835,3653972.000,8385,1,EA,1,100,0.030319
637448.110412,637448.110388,1673971944.909398,3654036.500,8403,2,EA,1,100,0.030319
637448.176976,637448.176952,1673971944.975961,3654101.000,8403,2,EA,1,100,0.030319
637448.242680,637448.242657,1673971945.041663,3654164.667,8428,3,EA,1,100,0.030319
637448.308385,637448.308361,1673971945.107366,3654228.333,8428,3,EA,1,100,0.030319
637448.374089,637448.374066,1673971945.173069,3654292.000,8428,3,EA,1,100,0.030319
637448.441170,637448.441146,1673971945.240147,3654357.000,8444,1,EA,1,100,0.030319
637448.507218,637448.507195,1673971945.306194,3654421.000,8462,2,EA,1,100,0.030319
637448.573267,637448.573243,1673971945.372240,3654485.000,8462,2,EA,1,100,0.030319
637448.639315,637448.639292,1673971945.438287,3654549.000,8478,1,EA,1,100,0.030319
637448.705880,637448.705856,1673971945.504849,3654613.500,8493,2,EA,1,100,0.030319
637448.772444,637448.772421,1673971945.571412,3654678.000,8493,2,EA,1,100,0.030320
637448.839009,637448.838985,1673971945.637975,3654742.500,8515,2,EA,1,100,0.030319
637448.905573,637448.905550,1673971945.704537,3654807.000,8515,2,EA,1,100,0.030320
637448.971622,637448.971598,1673971945.770584,3654871.000,8532,1,EA,1,100,0.030320
637449.038702,637449.038679,1673971945.837662,3654936.000,8548,2,EA,1,100,0.030320
637449.105783,637449.105759,1673971945.904741,3655001.000,8548,2,EA,1,100,0.030320
637449.170799,637449.170776,1673971945.969756,3655064.000,8566,1,EA,1,100,0.030319
637449.237364,637449.237340,1673971946.036318,3655128.500,8580,2,EA,1,100,0.030320
637449.303928,637449.303905,1673971946.102881,3655193.000,8580,2,EA,1,100,0.030320
637449.373073,637449.373049,1673971946.172023,3655260.000,8597,1,EA,1,100,0.030319
637449.439121,637449.439098,1673971946.238070,3655324.000,8617,2,EA,1,100,0.030319
637449.505170,637449.505146,1673971946.304116,3655388.000,8617,2,EA,1,100,0.030319
637449.571218,637449.571194,1673971946.370163,3655452.000,8634,1,EA,1,100,0.030319
637449.637783,637449.637759,1673971946.436726,3655516.500,8649,2,EA,1,100,0.030319
637449.704347,637449.704323,1673971946.503288,3655581.000,8649,2,EA,1,100,0.030319
637449.770911,637449.770888,1673971946.569851,3655645.500,8666,2,EA,1,100,0.030319
637449.837476,637449.837452,1673971946.636414,3655710.000,8666,2,EA,1,100,0.030319
