LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637461.482648,637461.482624,1673971958.281255,3666994,10572,4,TX,1,100,637461.3302780,637461.3302921,
637461.916091,637461.916067,1673971958.714685,3667414,10643,4,TX,1,100,637461.8305595,637461.8305736,
637462.417647,637462.417623,1673971959.216227,3667900,10727,4,TX,1,100,637462.3305321,637462.3305462,
637462.887210,637462.887186,1673971959.685777,3668355,10796,4,TX,1,100,637462.8311170,637462.8311179,
637463.388766,637463.388742,1673971960.187318,3668841,10883,4,TX,1,100,637463.3316361,637463.3316370,
637463.919218,637463.919194,1673971960.717755,3669355,10970,4,TX,1,100,637463.8326633,637463.8326642,
637464.437285,637464.437261,1673971961.235808,3669857,11060,4,TX,1,100,637464.3331841,637464.3331850,
637464.864536,637464.864513,1673971961.663047,3670271,11128,4,TX,1,100,637464.8339937,637464.8339965,
637465.475485,637465.475461,1673971962.273978,3670863,11232,4,TX,1,100,637465.3349753,637465.3349781,
637465.908928,637465.908904,1673971962.707408,3671283,11303,4,TX,1,100,637465.8352509,637465.8352537,
637466.527100,637466.527076,1673971963.325563,3671882,11404,4,TX,1,100,637466.3353511,637466.3353539,
637466.929583,637466.929559,1673971963.728035,3672272,11475,4,TX,1,100,637466.8355398,637466.8355425,
637467.382634,637467.382611,1673971964.181073,3672711,11543,4,TX,1,100,637467.3359226,637467.3359253,
637467.894510,637467.894486,1673971964.692934,3673207,11630,4,TX,1,100,637467.8361076,637467.8361103,
637468.493074,637468.493051,1673971965.291482,3673787,11731,4,TX,1,100,637468.3369089,637468.3369116,
637468.925486,637468.925462,1673971965.723881,3674206,11802,4,TX,1,100,637468.8376261,637468.8376603,
637469.481738,637469.481714,1673971966.280117,3674745,11892,4,TX,1,100,637469.3383107,637469.3383449,
637469.895573,637469.895549,1673971966.693940,3675146,11962,4,TX,1,100,637469.8392433,637469.8392775,
637470.535417,637470.535393,1673971967.333766,3675766,12064,4,TX,1,100,637470.3398802,637470.3399144,
637471.034909,637471.034885,1673971967.833244,3676250,12151,4,TX,1,100,637470.8402669,637470.8402887,
637471.499312,637471.499288,1673971968.297634,3676700,12220,4,TX,1,100,637471.3410487,637471.3410705,
637471.900763,637471.900739,1673971968.699073,3677089,12291,4,TX,1,100,637471.8414313,637471.8414531,
637472.417799,637472.417775,1673971969.216094,3677590,12375,4,TX,1,100,637472.3420391,637472.3420609,
637472.933803,637472.933779,1673971969.732084,3678090,12462,4,TX,1,100,637472.8424131,637472.8424198,
637473.450838,637473.450814,1673971970.249104,3678591,12547,4,TX,1,100,637473.3433497,637473.3433564,
637473.969938,637473.969914,1673971970.768189,3679094,12634,4,TX,1,100,637473.8436531,637473.8436598,
637474.400285,637474.400261,1673971971.198524,3679511,12702,4,TX,1,100,637474.3442657,637474.3442724,
637474.989561,637474.989537,1673971971.787784,3680082,12795,4,TX,1,100,637474.8453331,637474.8453573,
637475.394108,637475.394084,1673971972.192319,3680474,12863,4,TX,1,100,637475.3456849,637475.3457091,
637475.900824,637475.900800,1673971972.699021,3680965,12950,4,TX,1,100,637475.8460171,637475.8460413,
637476.416828,637476.416804,1673971973.215010,3681465,13035,4,TX,1,100,637476.3470538,637476.3470780,
637476.941087,637476.941063,1673971973.739254,3681973,13122,4,TX,1,100,637476.8475805,637476.8475844,
637477.451931,637477.451907,1673971974.250084,3682468,13207,4,TX,1,100,637477.3476908,637477.3476947,
637478.167112,637478.167088,1673971974.965245,3683161,13326,4,TX,1,100,637477.8484471,637477.8484510,
637478.500451,637478.500427,1673971975.298573,3683484,13379,4,TX,1,100,637478.3486882,637478.3486921,
637478.932862,637478.932838,1673971975.730972,3683903,13450,4,TX,1,100,637478.8495785,637478.8495899,
637479.496338,637479.496314,1673971976.294432,3684449,13535,4,TX,1,100,637479.3504940,637479.3505054,
637479.892629,637479.892605,1673971976.690712,3684833,13606,4,TX,1,100,637479.8508430,637479.8508544,
637480.412760,637480.412736,1673971977.210829,3685337,13695,4,TX,1,100,637480.3517668,637480.3517782,
637480.934956,637480.934932,1673971977.733010,3685843,13782,4,TX,1,100,637480.8519185,637480.8519225,
