LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
640388.966179,640388.966165,1673974885.651464,159469.000,24061,1,SF,1,100,0.0000
640389.231381,640389.231367,1673974885.916659,159726.000,24110,1,SF,1,100,0.0000
640389.563657,640389.563643,1673974886.248925,160048.000,24158,1,SF,1,100,0.0000
640389.894901,640389.894888,1673974886.580160,160369.000,24211,1,SF,1,100,0.0000
640390.293220,640390.293207,1673974886.978467,160755.000,24279,1,SF,1,100,0.0000
640390.624465,640390.624451,1673974887.309702,161076.000,24329,1,SF,1,100,0.0000
640390.890699,640390.890685,1673974887.575928,161334.000,24380,1,SF,1,100,0.0000
640391.227103,640391.227089,1673974887.912323,161660.000,24428,1,SF,1,100,0.0000
640391.558347,640391.558333,1673974888.243557,161981.000,24480,1,SF,1,100,0.0000
640391.956666,640391.956652,1673974888.641865,162367.000,24548,1,SF,1,100,0.0000
640392.292038,640392.292024,1673974888.977227,162692.000,24597,1,SF,1,100,0.0000
640392.555176,640392.555162,1673974889.240357,162947.000,24646,1,SF,1,100,0.0000
640392.891580,640392.891566,1673974889.576751,163273.000,24698,1,SF,1,100,0.0000
640393.224888,640393.224875,1673974889.910050,163596.000,24755,1,SF,1,100,0.0000
640393.557165,640393.557151,1673974890.242317,163918.000,24803,1,SF,1,100,0.0000
640393.955484,640393.955470,1673974890.640624,164304.000,24870,1,SF,1,100,0.0000
640394.220686,640394.220672,1673974890.905818,164561.000,24921,1,SF,1,100,0.0000
640394.557090,640394.557076,1673974891.242213,164887.000,24972,1,SF,1,100,0.0000
640394.888334,640394.888320,1673974891.573447,165208.000,25023,1,SF,1,100,0.0000
640395.223706,640395.223692,1673974891.908810,165533.000,25073,1,SF,1,100,0.0000
640395.620993,640395.620979,1673974892.306085,165918.000,25140,1,SF,1,100,0.0000
640395.955333,640395.955319,1673974892.640415,166242.000,25189,1,SF,1,100,0.0000
640396.220535,640396.220521,1673974892.905610,166499.000,25242,1,SF,1,100,0.0000
640396.553843,640396.553829,1673974893.238908,166822.000,25291,1,SF,1,100,0.0000
640396.880960,640396.880946,1673974893.566015,167139.000,25341,1,SF,1,100,0.0000
640397.283407,640397.283393,1673974893.968450,167529.000,25406,1,SF,1,100,0.0000
640397.615683,640397.615669,1673974894.300717,167851.000,25462,1,SF,1,100,0.0000
640397.881917,640397.881903,1673974894.566943,168109.000,25510,1,SF,1,100,0.0000
640398.211098,640398.211083,1673974894.896114,168428.000,25560,1,SF,1,100,0.0000
640398.543374,640398.543360,1673974895.228381,168750.000,25614,1,SF,1,100,0.0000
640398.875650,640398.875636,1673974895.560647,169072.000,25665,1,SF,1,100,0.0000
640399.272937,640399.272923,1673974895.957923,169457.000,25733,1,SF,1,100,0.0000
640399.604182,640399.604168,1673974896.289158,169778.000,25785,1,SF,1,100,0.0000
640399.872479,640399.872465,1673974896.557447,170038.000,25834,1,SF,1,100,0.0000
640400.201660,640400.201646,1673974896.886619,170357.000,25883,1,SF,1,100,0.0000
640400.533936,640400.533922,1673974897.218885,170679.000,25936,1,SF,1,100,0.0000
640400.933287,640400.933273,1673974897.618224,171066.000,26003,1,SF,1,100,0.0000
640401.267627,640401.267613,1673974897.952555,171390.000,26051,1,SF,1,100,0.0000
640401.533861,640401.533847,1673974898.218781,171648.000,26102,1,SF,1,100,0.0000
640401.868201,640401.868187,1673974898.553111,171972.000,26152,1,SF,1,100,0.0000
