LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
640502.251779,640502.251758,1673974998.933765,269251.000,42114,1,TH,1,100,25.243
640502.383864,640502.383843,1673974999.065846,269379.000,42148,1,TH,1,100,25.243
640502.516981,640502.516960,1673974999.198960,269508.000,42165,1,TH,1,100,25.236
640502.650097,640502.650077,1673974999.332072,269637.000,42184,1,TH,1,100,25.236
640502.783214,640502.783194,1673974999.465186,269766.000,42202,1,TH,1,100,25.342
640502.915299,640502.915279,1673974999.597267,269894.000,42233,1,TH,1,100,25.342
640503.047384,640503.047364,1673974999.729348,270022.000,42250,1,TH,1,100,25.270
640503.180501,640503.180481,1673974999.862461,270151.000,42267,1,TH,1,100,25.269
640503.313618,640503.313598,1673974999.995574,270280.000,42299,1,TH,1,100,25.306
640503.446735,640503.446715,1673975000.128687,270409.000,42317,1,TH,1,100,25.306
640503.578820,640503.578800,1673975000.260768,270537.000,42334,1,TH,1,100,25.212
640503.711937,640503.711917,1673975000.393881,270666.000,42351,1,TH,1,100,25.212
640503.845054,640503.845034,1673975000.526994,270795.000,42382,1,TH,1,100,25.347
640503.978171,640503.978150,1673975000.660107,270924.000,42402,1,TH,1,100,25.347
640504.111288,640504.111267,1673975000.793221,271053.000,42419,1,TH,1,100,25.298
640504.244405,640504.244384,1673975000.926333,271182.000,42441,1,TH,1,100,25.298
640504.380618,640504.380597,1673975001.062542,271314.000,42458,1,TH,1,100,25.342
640504.513734,640504.513714,1673975001.195655,271443.000,42477,1,TH,1,100,25.342
640504.645819,640504.645799,1673975001.327736,271571.000,42509,1,TH,1,100,25.363
640504.778936,640504.778916,1673975001.460850,271700.000,42525,1,TH,1,100,25.363
640504.912053,640504.912033,1673975001.593962,271829.000,42542,1,TH,1,100,25.321
640505.043106,640505.043086,1673975001.725012,271956.000,42559,1,TH,1,100,25.321
640505.179319,640505.179298,1673975001.861221,272088.000,42590,1,TH,1,100,25.249
640505.312436,640505.312415,1673975001.994334,272217.000,42607,1,TH,1,100,25.249
640505.445553,640505.445532,1673975002.127447,272346.000,42626,1,TH,1,100,25.300
640505.577638,640505.577617,1673975002.259528,272474.000,42646,1,TH,1,100,25.301
640505.709723,640505.709702,1673975002.391609,272602.000,42678,1,TH,1,100,25.326
640505.845936,640505.845915,1673975002.527818,272734.000,42694,1,TH,1,100,25.326
640505.979053,640505.979032,1673975002.660931,272863.000,42711,1,TH,1,100,25.347
640506.113201,640506.113181,1673975002.795076,272993.000,42743,1,TH,1,100,25.347
640506.246318,640506.246298,1673975002.928189,273122.000,42759,1,TH,1,100,25.342
640506.379435,640506.379415,1673975003.061302,273251.000,42777,1,TH,1,100,25.349
640506.510488,640506.510468,1673975003.192351,273378.000,42795,1,TH,1,100,25.290
640506.646701,640506.646680,1673975003.328560,273510.000,42827,1,TH,1,100,25.290
640506.779818,640506.779797,1673975003.461673,273639.000,42844,1,TH,1,100,25.287
640506.911903,640506.911882,1673975003.593754,273767.000,42860,1,TH,1,100,25.287
640507.045020,640507.044999,1673975003.726867,273896.000,42881,1,TH,1,100,25.346
640507.176073,640507.176052,1673975003.857916,274023.000,42912,1,TH,1,100,25.347
640507.309190,640507.309169,1673975003.991029,274152.000,42928,1,TH,1,100,25.360
640507.444371,640507.444350,1673975004.126206,274283.000,42948,1,TH,1,100,25.360
640507.578519,640507.578499,1673975004.260351,274413.000,42964,1,TH,1,100,25.264
640507.711636,640507.711616,1673975004.393464,274542.000,42996,1,TH,1,100,25.264
640507.841658,640507.841637,1673975004.523481,274668.000,43013,1,TH,1,100,25.256
640507.974775,640507.974754,1673975004.656595,274797.000,43029,1,TH,1,100,25.256
640508.110987,640508.110966,1673975004.792803,274929.000,43061,1,TH,1,100,25.342
640508.244104,640508.244083,1673975004.925916,275058.000,43078,1,TH,1,100,25.342
640508.378253,640508.378232,1673975005.060061,275188.000,43095,1,TH,1,100,25.266
640508.511370,640508.511349,1673975005.193174,275317.000,43114,1,TH,1,100,25.266
640508.642423,640508.642402,1673975005.324224,275444.000,43149,1,TH,1,100,25.279
640508.774508,640508.774487,1673975005.456305,275572.000,43165,1,TH,1,100,25.279
640508.910721,640508.910700,1673975005.592513,275704.000,43182,1,TH,1,100,25.313
640509.044870,640509.044849,1673975005.726658,275834.000,43214,1,TH,1,100,25.313
640509.176955,640509.176934,1673975005.858740,275962.000,43230,1,TH,1,100,25.269
640509.309040,640509.309019,1673975005.990821,276090.000,43247,1,TH,1,100,25.269
640509.442156,640509.442136,1673975006.123934,276219.000,43266,1,TH,1,100,25.447
640509.575273,640509.575253,1673975006.257047,276348.000,43288,1,TH,1,100,25.447
640509.708390,640509.708369,1673975006.390160,276477.000,43305,1,TH,1,100,25.287
640509.842539,640509.842518,1673975006.524305,276607.000,43336,1,TH,1,100,25.287
640509.975656,640509.975635,1673975006.657418,276736.000,43354,1,TH,1,100,25.258
640510.105677,640510.105656,1673975006.787435,276862.000,43373,1,TH,1,100,25.258
640510.238794,640510.238773,1673975006.920548,276991.000,43390,1,TH,1,100,25.372
640510.375007,640510.374986,1673975007.056757,277123.000,43424,1,TH,1,100,25.372
640510.509156,640510.509135,1673975007.190902,277253.000,43440,1,TH,1,100,25.357
640510.640209,640510.640188,1673975007.321951,277380.000,43457,1,TH,1,100,25.357
640510.773326,640510.773305,1673975007.455064,277509.000,43489,1,TH,1,100,25.274
640510.906443,640510.906422,1673975007.588177,277638.000,43505,1,TH,1,100,25.274
640511.038528,640511.038507,1673975007.720258,277766.000,43523,1,TH,1,100,25.256
640511.171645,640511.171624,1673975007.853371,277895.000,43539,1,TH,1,100,25.256
640511.303730,640511.303709,1673975007.985453,278023.000,43571,1,TH,1,100,25.256
640511.435815,640511.435794,1673975008.117534,278151.000,43590,1,TH,1,100,25.256
640511.567900,640511.567879,1673975008.249615,278279.000,43609,1,TH,1,100,25.313
640511.701017,640511.700996,1673975008.382728,278408.000,43627,1,TH,1,100,25.313
640511.834133,640511.834112,1673975008.515841,278537.000,43658,1,TH,1,100,25.276
640511.966218,640511.966197,1673975008.647922,278665.000,43674,1,TH,1,100,25.276
640512.098303,640512.098282,1673975008.780003,278793.000,43692,1,TH,1,100,25.385
640512.231420,640512.231399,1673975008.913116,278922.000,43708,1,TH,1,100,25.385
640512.363505,640512.363484,1673975009.045198,279050.000,43742,1,TH,1,100,25.305
640512.496622,640512.496601,1673975009.178311,279179.000,43759,1,TH,1,100,25.305
640512.629739,640512.629718,1673975009.311424,279308.000,43775,1,TH,1,100,25.406
640512.760792,640512.760771,1673975009.442473,279435.000,43807,1,TH,1,100,25.406
640512.897005,640512.896984,1673975009.578682,279567.000,43824,1,TH,1,100,25.357
640513.030122,640513.030101,1673975009.711795,279696.000,43844,1,TH,1,100,25.364
640513.163239,640513.163218,1673975009.844908,279825.000,43861,1,TH,1,100,25.341
640513.296356,640513.296335,1673975009.978021,279954.000,43893,1,TH,1,100,25.341
640513.429473,640513.429452,1673975010.111134,280083.000,43911,1,TH,1,100,25.271
640513.561558,640513.561537,1673975010.243215,280211.000,43928,1,TH,1,100,25.264
640513.693643,640513.693622,1673975010.375296,280339.000,43945,1,TH,1,100,25.313
640513.826760,640513.826739,1673975010.508409,280468.000,43976,1,TH,1,100,25.320
640513.959877,640513.959856,1673975010.641522,280597.000,43993,1,TH,1,100,25.304
640514.092994,640514.092972,1673975010.774635,280726.000,44010,1,TH,1,100,25.304
640514.225079,640514.225057,1673975010.906717,280854.000,44041,1,TH,1,100,25.292
640514.361291,640514.361270,1673975011.042925,280986.000,44061,1,TH,1,100,25.292
640514.494408,640514.494387,1673975011.176038,281115.000,44077,1,TH,1,100,25.400
640514.626493,640514.626472,1673975011.308120,281243.000,44097,1,TH,1,100,25.400
640514.759610,640514.759589,1673975011.441232,281372.000,44134,2,TH,1,100,25.333
640514.892727,640514.892706,1673975011.574346,281501.000,44134,2,TH,1,100,25.333
640515.025844,640515.025823,1673975011.707459,281630.000,44166,1,TH,1,100,25.294
640515.162057,640515.162035,1673975011.843667,281762.000,44182,1,TH,1,100,25.294
640515.295174,640515.295152,1673975011.976780,281891.000,44199,1,TH,1,100,25.245
640515.428290,640515.428269,1673975012.109893,282020.000,44233,1,TH,1,100,25.244
640515.560375,640515.560354,1673975012.241975,282148.000,44249,1,TH,1,100,25.296
640515.692461,640515.692439,1673975012.374056,282276.000,44267,1,TH,1,100,25.296
640515.828673,640515.828652,1673975012.510264,282408.000,44283,1,TH,1,100,25.403
640515.960758,640515.960737,1673975012.642346,282536.000,44315,1,TH,1,100,25.403
640516.093875,640516.093854,1673975012.775459,282665.000,44335,1,TH,1,100,25.325
640516.226992,640516.226971,1673975012.908572,282794.000,44351,1,TH,1,100,25.325
640516.359077,640516.359056,1673975013.040653,282922.000,44369,1,TH,1,100,25.312
640516.491162,640516.491141,1673975013.172734,283050.000,44402,1,TH,1,100,25.312
640516.627375,640516.627353,1673975013.308943,283182.000,44418,1,TH,1,100,25.221
640516.760492,640516.760470,1673975013.442056,283311.000,44436,1,TH,1,100,25.221
640516.892577,640516.892555,1673975013.574137,283439.000,44467,1,TH,1,100,25.258
640517.025694,640517.025672,1673975013.707250,283568.000,44484,1,TH,1,100,25.258
640517.157779,640517.157757,1673975013.839331,283696.000,44501,1,TH,1,100,25.356
640517.292959,640517.292938,1673975013.974508,283827.000,44517,1,TH,1,100,25.356
640517.428140,640517.428119,1673975014.109685,283958.000,44551,1,TH,1,100,25.338
640517.562289,640517.562268,1673975014.243830,284088.000,44571,1,TH,1,100,25.338
640517.695406,640517.695385,1673975014.376943,284217.000,44588,1,TH,1,100,25.333
640517.825427,640517.825406,1673975014.506960,284343.000,44619,1,TH,1,100,25.333
640517.959576,640517.959555,1673975014.641105,284473.000,44637,1,TH,1,100,25.304
640518.095789,640518.095767,1673975014.777314,284605.000,44653,1,TH,1,100,25.304
640518.227874,640518.227852,1673975014.909395,284733.000,44670,1,TH,1,100,25.364
640518.358927,640518.358905,1673975015.040444,284860.000,44704,1,TH,1,100,25.364
640518.492044,640518.492022,1673975015.173557,284989.000,44720,1,TH,1,100,25.400
640518.623097,640518.623075,1673975015.304607,285116.000,44737,1,TH,1,100,25.400
640518.755182,640518.755160,1673975015.436688,285244.000,44754,1,TH,1,100,25.271
640518.891394,640518.891373,1673975015.572896,285376.000,44785,1,TH,1,100,25.270
640519.025543,640519.025522,1673975015.707042,285506.000,44803,1,TH,1,100,25.278
640519.157628,640519.157607,1673975015.839123,285634.000,44822,1,TH,1,100,25.285
640519.289713,640519.289692,1673975015.971204,285762.000,44854,1,TH,1,100,25.306
640519.423862,640519.423841,1673975016.105349,285892.000,44873,1,TH,1,100,25.306
640519.559043,640519.559021,1673975016.240525,286023.000,44889,1,TH,1,100,25.366
640519.691128,640519.691106,1673975016.372607,286151.000,44907,1,TH,1,100,25.366
640519.823213,640519.823191,1673975016.504688,286279.000,44938,1,TH,1,100,25.428
640519.956330,640519.956308,1673975016.637801,286408.000,44954,1,TH,1,100,25.428
640520.088415,640520.088393,1673975016.769882,286536.000,44977,1,TH,1,100,25.304
640520.221532,640520.221510,1673975016.902995,286665.000,44993,1,TH,1,100,25.304
640520.357744,640520.357723,1673975017.039204,286797.000,45011,1,TH,1,100,25.317
640520.490861,640520.490840,1673975017.172317,286926.000,45029,1,TH,1,100,25.317
640520.622946,640520.622925,1673975017.304398,287054.000,45064,1,TH,1,100,25.330
640520.756063,640520.756042,1673975017.437511,287183.000,45081,1,TH,1,100,25.330
